;;en;Code;
1;AAA2;AAA2 - CARBON STEEL;AAA2;
1;AAB2;AAB2 - CARBON STEEL;AAB2;
1;AAC2;AAC2 - CARBON STEEL;AAC2;
1;AAD2;AAD2 - CARBON STEEL;AAD2;
1;AAE2;AAE2 - CARBON STEEL;AAE2;
1;AAG2;AAG2 - CARBON STEEL;AAG2;
1;AAG5;AAG5 - CARBON STEEL;AAG5;
1;ADA2;ADA2 - DUPLEX S32760;ADA2;
1;AGA0;AGA0 - 316 SS;AGA0;
1;AGA1;AGA1 - 316/316L SS;AGA1;
1;AGB1;AGB1 - 316/316L SS;AGB1;
1;AGC1;AGC1 - 316/316L SS;AGC1;
1;AGC3;AGC3 - 316/316L SS;AGC3;
1;AGD1;AGD1 - 316/316L SS;AGD1;
1;AGD2;AGD2 - 316/316L SS;AGD2;
1;AGE1;AGE1 - 316/316L SS;AGE1;
1;AGE3;AGE3 - 316/316L SS DBL WALL;AGE3;
1;AGF1;AGF1 - 316/316L SS;AGF1;
1;AGK1;AGK1 - 316/316L SS;AGK1;
1;AHA1;AHA1 - HASTELLOY C276;AHA1;
1;AHB1;AHB1 - HASTELLOY C276;AHB1;
1;ANA1;ANA1 - ALLOY 59;ANA1;
1;ANB1;ANB1 - ALLOY 59;ANB1;
1;APA1;APA1 - TITANIUM;APA1;
1;APA3;APA3 - TITANIUM;APA3;
1;APB3;APB3 - TITANIUM;APB3;
1;APM1;APM1 - TITANIUM;APM1;
1;ATA0;ATA0 - 6MM RUBBER LINED CS;ATA0;
1;ATC0;ATC0 - PTFE LINED STEEL;ATC0;
1;ATE0;ATE0 - PP LINED STEEL;ATE0;
1;ATF0;ATF0 - PP LINED STEEL;ATF0;
1;ATG0;ATG0 - PP LINED STEEL;ATG0;
1;AWA1;AWA1 - FRP (2.8MM-CB);AWA1;
1;AWB1;AWB1 - FRP (3.1MM-CB);AWB1;
1;AWB2;AWB2 - FRP (5.6MM-CB);AWB2;
1;AWB3;AWB3 - FRP (6.8MM-CB);AWB3;
1;AWC3;AWC3 - FRP (6.8MM-CB);AWC3;
1;AWG1;AWG1 - FRP (3.1MM-CB);AWG1;
1;AWX1;AWX1 - FRP (2.8MM-CB);AWX1;
1;AWY1;AWY1 - FRP (3.1MM-CB);AWY1;
1;AWY2;AWY2 - FRP (5.6MM-CB);AWY2;
1;AWY3;AWY3 - FRP (6.8MM-CB);AWY3;
1;AXA0;AXA0 - CPVC;AXA0;
1;AXB0;AXB0 - PVC;AXB0;
1;AYA1;AYA1 - HDPE (SDR 6.3);AYA1;
1;AYB0;AYB0 - HDPE (SDR 7.3);AYB0;
1;AYC1;AYC1 - HDPE (SDR 9);AYC1;
1;AYD0;AYD0 - HDPE(Pre-insulated);AYD0;
1;AYE1;AYE1 - HDPE (SDR 11);AYE1;
1;AYF0;AYF0 - HDPE (SDR17);AYF0;
1;AYF1;AYF1 - HDPE (SDR 17);AYF1;
1;AYG0;AYG0 - HDPE (SDR 21);AYG0;
1;AYH0;AYH0 - HDPE (SDR 32.5);AYH0;
1;AYS0;AYS0 - HDPE (SDR 21);AYS0;
1;AYT0;AYT0 - HDPE (SDR 11);AYT0;
1;AZA0;AZA0 - COPPER;AZA0;
1;CAE2;CAE2 - CARBON STEEL;CAE2;
1;CAE3;CAE3 - CARBON STEEL;CAE3;
1;CAG5;CAG5;CAG5;
1;CDG6;CDG6 - DUPLEX 2205;CDG6;
1;CGA1;CGA1 - 316/316L SS;CGA1;
1;CGB1;CGB1 - 316/316L SS;CGB1;
1;CGC3;CGC3 - 316/316L SS;CGC3;
1;CGD2;CGD2 - 316/316L SS;CGD2;
1;CGE3;CGE3 - 316/316L SS DBL WALL;CGE3;
1;CGM1;CGM1 - 316/316L SS;CGM1;
1;CHA1;CHA1 - HASTELLOY C276;CHA1;
1;CNA1;CNA1 - ALLOY 59;CNA1;
1;CNB1;CNB1 - ALLOY 59;CNB1;
1;CPA3;CPA3 - TITANIUM;CPA3;
1;CPB3;CPB3 - TITANIUM;CPB3;
1;CTA0;CTA0 - 6MM RUBBER LINED CS;CTA0;
1;CTC0;CTC0 - PTFE LINED STEEL;CTC0;
1;FDG6;FDG6 - DUPLEX 2205;FDG6;
1;GAC2;GAC2 - CARBON STEEL;GAC2;
1;GAG5;GAG5 - CARBON STEEL;GAG5;
1;HGA1;HGA1 - 316/316L SS;HGA1;
1;KAA2;KAA2 - CARBON STEEL COATED;KAA2;
1;KAB2;KAB2 - CARBON STEEL COATED;KAB2;
1;KRA0;KRA0 - DI Cement Lined;KRA0;
1;KRB0;KRB0 - DI Cement Lined;KRB0;
1;KXA0;KXA0 - PVC (SDR 35);KXA0;
1;KYA0;KYA0 - HDPE (FM150);KYA0;
1;KYB0;KYB0 - HDPE(SDR 7.3/DI FTG);KYB0;
1;KYD0;KYD0 - HDPE(SDR 11);KYD0;
1;UNKN;UNKNOWN;UNKN;
